Id,Age,Gender,Marital_status,Numofcomp_worked,Work_Experience,Last_salary,Salary_hike,Work_hours,Traveling_required,NoticePeriod_buyout,Job_type,Whether_comp_Possess_vehicle,Work_location,Traveltowork_distance_time,Work_area_living_cost,Public_transport_nearby,Current_employment,Offer_letter_Processtime_week,Bonus,Allowance,Overtime_pay,Emp_shares_scheme,Performance_incentive,Annual_leave,Medical_Family,Child_day_care,Nursing_room,Parking,Comp_size,Comp_rating,Work_life,Stresslevel,Accept_offer
2703,34-40,Male,Married,9 Above,8 Above,10-15K,75-100%,Flexible Hours,No,No,Permanant,Yes,Outskirt Town,Far,Average,Yes,Working,3,No,No,No,No,Yes,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,Yes
2704,27-33,Male,Married,0-2',8,3.5-7K,<25%,24/7 Operation,No,No,Contract,Yes,Outskirt Town,Average,Average,No,Unemployed/Resigned,3,No,No,Yes,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
2705,19-26,Female,Married,6-8',5,3.5-7K,25-50%,24/7 Operation,No,No,Permanant,No,Outskirt Town,Average,High Cost,No,Working,3,No,No,No,No,No,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,No
2706,19-26,Male,Single,3-5',2,3.5-7K,25-50%,Flexible Hours,Yes,No,Permanant,Yes,Outskirt Town,Average,Low Cost,No,Working,3,Yes,No,Yes,Yes,No,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
2707,27-33,Female,Married,0-2',5,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,Yes
2708,19-26,Male,Single,0-2',8,3.5-7K,Above 100%,Mon-Fri,Yes,Yes,Permanant,Yes,Business Centre,Average,High Cost,No,Working,4,No,No,No,No,No,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
2709,34-40,Female,Single,6-8',8 Above,7-10K,50-75%,Mon-Fri,Yes,No,Permanant,Yes,Business Centre,Average,High Cost,No,Working,5,Yes,No,No,No,Yes,More Than 12 Days,Yes,Yes,Yes,Yes,More Than 5000,High,High,High,Yes
2710,27-33,Female,Married,0-2',8 Above,15K Above,75-100%,Mon-Fri,Yes,Yes,Permanant,No,Outskirt Town,Near,Average,No,Working,5,Yes,No,Yes,Yes,Yes,More Than 12 Days,Yes,No,Yes,No,More Than 5000,High,High,High,No
2711,34-40,Male,Single,0-2',8,7-10K,50-75%,Mon-Fri,Yes,No,Permanant,Yes,Town,Near,Low Cost,No,Working,5,No,No,No,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,Yes
2712,19-26,Female,Married,0-2',5,3.5-7K,50-75%,Flexible Hours,No,Yes,Permanant,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,Yes
2713,19-26,Female,Married,0-2',5,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Centre,Average,High Cost,Yes,Working,5,Yes,Yes,Yes,No,No,More Than 12 Days,No,Yes,No,Yes,More Than 5000,High,High,High,No
2714,27-33,Male,Single,9 Above,5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,No,Working,3,Yes,No,Yes,No,No,Less Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
2715,27-33,Female,Married,0-2',8,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,Yes
2716,27-33,Male,Married,0-2',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,No,Yes,Yes,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,No
2717,27-33,Male,Single,0-2',5,7-10K,25-50%,24/7 Operation,No,No,Permanant,No,Business Centre,Near,High Cost,No,Working,3,No,No,No,No,No,More Than 12 Days,No,Yes,No,Yes,More Than 5000,High,High,High,No
2718,27-33,Male,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Permanant,Yes,Town,Near,High Cost,Yes,Unemployed/Resigned,2,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,Yes,500 to 2000,High,High,High,Yes
2719,34-40,Male,Married,3-5',8 Above,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,3,No,No,No,No,Yes,Less Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
2720,34-40,Female,Married,6-8',8,10-15K,50-75%,24/7 Operation,No,Yes,Permanant,Yes,Outskirt Town,Far,High Cost,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,No
2721,27-33,Male,Single,9 Above,5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,No,Working,4,No,No,Yes,No,Yes,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
2722,27-33,Female,Married,3-5',5,7-10K,50-75%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Average,Low Cost,Yes,Working,3,No,No,No,No,Yes,More Than 12 Days,Yes,No,Yes,Yes,2000 to 5000,High,Low,High,Yes
2723,27-33,Female,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Permanant,Yes,Town,Near,Average,Yes,Unemployed/Resigned,2,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,Yes
2724,19-26,Female,Married,0-2',5,3.5-7K,50-75%,Flexible Hours,No,Yes,Permanant,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,Yes
2725,19-26,Male,Single,0-2',5,3.5-7K,Above 100%,24/7 Operation,No,Yes,Permanant,Yes,Business Centre,Near,Average,No,Working,4,Yes,Yes,Yes,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,Yes
2726,19-26,Female,Single,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Town,Near,High Cost,No,Working,3,No,No,No,No,No,Less Than 12 Days,No,No,No,No,200 to 500,High,High,High,No
2727,27-33,Female,Married,0-2',8,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,Yes
2728,27-33,Female,Married,0-2',5,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Near,Average,Yes,Working,2,No,No,No,No,No,Less Than 12 Days,No,No,No,No,Less Than 200,High,High,High,No
2729,27-33,Female,Single,3-5',8 Above,15K Above,25-50%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Far,Average,Yes,Working,4,Yes,No,Yes,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
2730,27-33,Male,Single,0-2',8,7-10K,50-75%,Mon-Fri,No,No,Permanant,Yes,Town,Average,Average,Yes,Working,1,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,No
2731,19-26,Female,Married,0-2',5,3.5-7K,50-75%,24/7 Operation,Yes,Yes,Permanant,No,Town,Average,High Cost,No,Working,2,Yes,Yes,No,No,No,More Than 12 Days,No,Yes,No,No,More Than 5000,High,High,High,No
2732,27-33,Female,Single,9 Above,8,10-15K,75-100%,Flexible Hours,Yes,Yes,Permanant,Yes,Outskirt Town,Far,Average,Yes,Working,3,Yes,No,No,No,Yes,More Than 12 Days,Yes,No,No,No,2000 to 5000,High,High,High,No
2733,40 Above,Male,Single,0-2',8,7-10K,50-75%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,Yes,No,No,More Than 12 Days,Yes,No,No,No,More Than 5000,High,Low,High,Yes
2734,27-33,Female,Single,0-2',5,7-10K,25-50%,Mon-Fri,No,No,Permanant,Yes,Town,Average,Average,No,Working,3,Yes,No,No,Yes,No,More Than 12 Days,Yes,No,Yes,Yes,More Than 5000,High,Low,High,Yes
2735,27-33,Male,Single,0-2',5,10-15K,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Average,High Cost,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
2736,19-26,Male,Single,3-5',5,3.5-7K,75-100%,Mon-Fri,Yes,Yes,Contract,Yes,Town,Near,Average,Yes,Working,5,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
2737,27-33,Female,Single,3-5',8 Above,3.5-7K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Average,High Cost,Yes,Working,1,Yes,No,No,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
2738,27-33,Female,Married,0-2',5,3.5-7K,<25%,24/7 Operation,No,Yes,Permanant,Yes,Town,Near,Low Cost,No,Unemployed/Resigned,3,No,Yes,No,Yes,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
2739,19-26,Male,Single,0-2',2,3.5-7K,<25%,Mon-Fri,No,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,Yes,No,No,More Than 12 Days,No,No,No,No,More Than 5000,Low,High,High,No
2740,34-40,Male,Married,3-5',8 Above,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,3,No,No,No,No,Yes,Less Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
2741,27-33,Male,Single,0-2',5,10-15K,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Average,High Cost,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
2742,27-33,Female,Single,0-2',2,3.5-7K,<25%,Mon-Fri,Yes,Yes,Permanant,Yes,Outskirt Town,Far,Average,No,Working,5,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,Low,High,No
2743,19-26,Male,Single,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Town,Far,High Cost,No,Working,3,No,Yes,No,No,No,Less Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
2744,27-33,Male,Single,9 Above,5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,No,Working,3,Yes,No,Yes,No,No,Less Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
2745,19-26,Male,Married,0-2',2,3.5-7K,<25%,Flexible Hours,No,No,Permanant,No,Town,Average,Average,Yes,Unemployed/Resigned,3,Yes,No,Yes,No,No,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
2746,19-26,Female,Married,0-2',5,3.5-7K,50-75%,Flexible Hours,No,Yes,Permanant,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,Yes
2747,40 Above,Male,Married,3-5',8 Above,7-10K,50-75%,Flexible Hours,Yes,Yes,Permanant,Yes,Business Centre,Near,High Cost,No,Working,4,No,No,Yes,Yes,Yes,More Than 12 Days,Yes,No,No,No,More Than 5000,High,High,High,Yes
2748,19-26,Female,Single,0-2',2,3.5-7K,<25%,24/7 Operation,No,No,Permanant,No,Outskirt Town,Average,Average,No,Working,2,No,Yes,No,No,Yes,More Than 12 Days,No,No,No,Yes,Less Than 200,High,High,High,No
2749,19-26,Female,Married,0-2',5,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Near,Average,Yes,Unemployed/Resigned,3,Yes,No,No,No,Yes,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
2750,19-26,Female,Married,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Centre,Average,High Cost,Yes,Working,2,No,Yes,No,No,Yes,Less Than 12 Days,No,No,No,No,500 to 2000,High,Low,High,No
2751,19-26,Female,Single,0-2',2,3.5-7K,<25%,24/7 Operation,No,No,Permanant,No,Outskirt Town,Average,Average,No,Working,2,No,Yes,No,No,Yes,More Than 12 Days,No,No,No,Yes,Less Than 200,High,High,High,No
2752,34-40,Male,Married,0-2',8 Above,15K Above,<25%,Mon-Fri,Yes,No,Permanant,Yes,Business Centre,Far,High Cost,Yes,Working,3,Yes,No,No,Yes,No,More Than 12 Days,Yes,No,No,No,2000 to 5000,High,High,High,No
2753,19-26,Female,Married,0-2',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,Yes,No,No,Less Than 200,High,High,High,Yes
2754,34-40,Female,Single,6-8',8 Above,7-10K,50-75%,Mon-Fri,Yes,No,Permanant,Yes,Business Centre,Average,High Cost,No,Working,5,Yes,No,No,No,Yes,More Than 12 Days,Yes,Yes,Yes,Yes,More Than 5000,High,High,High,Yes
2755,19-26,Male,Single,0-2',8,3.5-7K,Above 100%,Mon-Fri,Yes,Yes,Permanant,Yes,Business Centre,Average,High Cost,No,Working,4,No,No,No,No,No,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
2756,19-26,Male,Single,0-2',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Near,High Cost,No,Unemployed/Resigned,1,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
2757,19-26,Male,Single,0-2',8,3.5-7K,Above 100%,Mon-Fri,Yes,Yes,Permanant,Yes,Business Centre,Average,High Cost,No,Working,4,No,No,No,No,No,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
2758,34-40,Female,Married,3-5',8 Above,7-10K,<25%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Far,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,No
2759,34-40,Male,Single,6-8',8,10-15K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Near,Average,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,Less Than 200,High,Low,High,Yes
2760,19-26,Female,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,No,Yes,Yes,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
2761,27-33,Female,Single,3-5',5,10-15K,25-50%,Flexible Hours,Yes,No,Contract,Yes,Town,Near,Low Cost,Yes,Working,3,Yes,No,Yes,No,No,More Than 12 Days,Yes,No,Yes,No,2000 to 5000,High,High,High,Yes
2762,34-40,Male,Single,6-8',8,10-15K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Near,Average,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,Less Than 200,High,Low,High,Yes
2763,34-40,Male,Single,6-8',8,10-15K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Near,Average,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,Less Than 200,High,Low,High,Yes
2764,27-33,Male,Married,0-2',5,7-10K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Far,High Cost,No,Working,1,No,No,Yes,Yes,Yes,More Than 12 Days,Yes,No,No,Yes,More Than 5000,High,High,High,No
2765,27-33,Female,Married,3-5',8,7-10K,50-75%,24/7 Operation,Yes,Yes,Contract,Yes,Town,Far,Average,No,Working,3,Yes,Yes,No,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
2766,27-33,Male,Single,9 Above,5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,No,Working,3,Yes,No,Yes,No,No,Less Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
2767,19-26,Male,Single,0-2',8,3.5-7K,Above 100%,Mon-Fri,Yes,Yes,Permanant,Yes,Business Centre,Average,High Cost,No,Working,4,No,No,No,No,No,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
2768,19-26,Male,Single,0-2',8,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,5,No,No,No,Yes,Yes,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
2769,34-40,Female,Married,3-5',8 Above,7-10K,<25%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Far,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,No
2770,27-33,Male,Single,9 Above,5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,No,Working,3,Yes,No,Yes,No,No,Less Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
2771,19-26,Male,Single,0-2',5,3.5-7K,25-50%,Flexible Hours,Yes,No,Permanant,Yes,Town,Near,Average,No,Working,3,Yes,No,Yes,No,No,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
2772,27-33,Female,Single,0-2',2,3.5-7K,<25%,Mon-Fri,Yes,No,Contract,No,Town,Average,Low Cost,No,Unemployed/Resigned,3,No,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,No
2773,19-26,Female,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,No,Yes,Yes,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
2774,19-26,Female,Married,0-2',2,3.5-7K,<25%,Mon-Fri,No,No,Contract,No,Outskirt Town,Far,Low Cost,No,Working,2,No,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,No
2775,19-26,Male,Single,3-5',5,3.5-7K,75-100%,Mon-Fri,Yes,Yes,Contract,Yes,Town,Near,Average,Yes,Working,5,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
2776,27-33,Male,Married,0-2',8,3.5-7K,<25%,24/7 Operation,No,No,Contract,Yes,Outskirt Town,Average,Average,No,Unemployed/Resigned,3,No,No,Yes,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
2777,19-26,Female,Married,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Centre,Average,High Cost,Yes,Working,2,No,Yes,No,No,Yes,Less Than 12 Days,No,No,No,No,500 to 2000,High,Low,High,No
2778,19-26,Female,Married,0-2',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,Yes,No,No,Less Than 200,High,High,High,Yes
2779,19-26,Male,Single,0-2',2,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,Average,Yes,Working,5,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,Yes
2780,34-40,Male,Single,0-2',5,10-15K,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Average,Average,No,Working,3,No,No,No,No,No,More Than 12 Days,Yes,No,No,No,500 to 2000,High,Low,High,Yes
2781,27-33,Female,Single,3-5',5,3.5-7K,50-75%,24/7 Operation,No,Yes,Permanant,Yes,Town,Near,Low Cost,Yes,Working,3,Yes,Yes,Yes,No,No,More Than 12 Days,No,No,Yes,Yes,2000 to 5000,High,High,High,Yes
2782,19-26,Male,Married,0-2',2,3.5-7K,<25%,24/7 Operation,No,No,Permanant,No,Town,Average,Average,Yes,Unemployed/Resigned,2,Yes,Yes,No,No,Yes,More Than 12 Days,No,No,No,Yes,Less Than 200,High,High,High,Yes
2783,27-33,Female,Married,0-2',5,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,Yes
2784,27-33,Female,Married,0-2',5,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Near,Average,Yes,Working,2,No,No,No,No,No,Less Than 12 Days,No,No,No,No,Less Than 200,High,High,High,No
2785,34-40,Female,Single,6-8',8 Above,7-10K,50-75%,Mon-Fri,Yes,No,Permanant,Yes,Business Centre,Average,High Cost,No,Working,5,Yes,No,No,No,Yes,More Than 12 Days,Yes,Yes,Yes,Yes,More Than 5000,High,High,High,Yes
2786,27-33,Male,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Permanant,Yes,Town,Near,High Cost,Yes,Unemployed/Resigned,2,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,Yes,500 to 2000,High,High,High,Yes
2787,27-33,Female,Single,0-2',8,3.5-7K,Above 100%,24/7 Operation,No,Yes,Permanant,Yes,Business Centre,Average,High Cost,Yes,Working,4,Yes,Yes,Yes,No,No,More Than 12 Days,No,Yes,No,No,2000 to 5000,High,High,High,Yes
2788,19-26,Male,Single,0-2',5,7-10K,50-75%,24/7 Operation,No,No,Contract,Yes,Business Centre,Near,Average,No,Working,4,No,Yes,Yes,No,Yes,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,Yes
2789,19-26,Female,Married,0-2',5,3.5-7K,50-75%,Flexible Hours,No,Yes,Permanant,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,Yes
2790,19-26,Female,Married,0-2',5,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Centre,Average,High Cost,Yes,Working,5,Yes,Yes,Yes,No,No,More Than 12 Days,No,Yes,No,Yes,More Than 5000,High,High,High,No
2791,19-26,Female,Married,0-2',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,Yes,No,No,Less Than 200,High,High,High,Yes
2792,27-33,Female,Married,0-2',5,3.5-7K,<25%,Mon-Fri,No,No,Contract,Yes,Outskirt Town,Near,Average,No,Unemployed/Resigned,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
2793,19-26,Male,Single,3-5',5,3.5-7K,75-100%,Mon-Fri,Yes,Yes,Contract,Yes,Town,Near,Average,Yes,Working,5,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
2794,19-26,Female,Married,0-2',5,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Centre,Average,High Cost,Yes,Working,5,Yes,Yes,Yes,No,No,More Than 12 Days,No,Yes,No,Yes,More Than 5000,High,High,High,No
2795,27-33,Male,Married,0-2',8,3.5-7K,<25%,24/7 Operation,No,No,Contract,Yes,Outskirt Town,Average,Average,No,Unemployed/Resigned,3,No,No,Yes,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
2796,19-26,Male,Single,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Permanant,Yes,Outskirt Town,Average,Low Cost,No,Unemployed/Resigned,3,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,Yes,Less Than 200,High,High,High,Yes
2797,34-40,Male,Married,3-5',8 Above,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,3,No,No,No,No,Yes,Less Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
2798,19-26,Female,Married,0-2',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,Yes,No,No,Less Than 200,High,High,High,Yes
2799,19-26,Male,Single,0-2',8,3.5-7K,Above 100%,Mon-Fri,Yes,Yes,Permanant,Yes,Business Centre,Average,High Cost,No,Working,4,No,No,No,No,No,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
2800,27-33,Female,Married,3-5',8,7-10K,50-75%,24/7 Operation,Yes,Yes,Contract,Yes,Town,Far,Average,No,Working,3,Yes,Yes,No,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
2801,19-26,Female,Married,0-2',5,3.5-7K,75-100%,24/7 Operation,No,Yes,Permanant,Yes,Business Centre,Near,Low Cost,No,Working,5,Yes,Yes,Yes,No,Yes,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,Yes
2802,27-33,Female,Single,0-2',8,15K Above,<25%,Mon-Fri,No,No,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
2803,40 Above,Male,Married,3-5',8 Above,7-10K,50-75%,Flexible Hours,Yes,Yes,Permanant,Yes,Business Centre,Near,High Cost,No,Working,4,No,No,Yes,Yes,Yes,More Than 12 Days,Yes,No,No,No,More Than 5000,High,High,High,Yes
2804,27-33,Female,Married,3-5',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Low Cost,No,Working,3,Yes,No,No,No,Yes,More Than 12 Days,Yes,No,No,Yes,500 to 2000,High,High,High,Yes
2805,34-40,Male,Single,0-2',5,10-15K,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Average,Average,No,Working,3,No,No,No,No,No,More Than 12 Days,Yes,No,No,No,500 to 2000,High,Low,High,Yes
2806,27-33,Female,Single,0-2',5,3.5-7K,50-75%,Mon-Fri,Yes,Yes,Contract,No,Business Centre,Near,High Cost,No,Working,5,No,No,No,No,Yes,More Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
2807,27-33,Female,Married,0-2',5,3.5-7K,Above 100%,Flexible Hours,No,Yes,Permanant,Yes,Business Centre,Average,High Cost,Yes,Working,4,Yes,No,No,No,No,More Than 12 Days,No,Yes,Yes,No,2000 to 5000,High,High,High,Yes
2808,27-33,Male,Married,0-2',8,7-10K,50-75%,Mon-Fri,No,No,Permanant,Yes,Town,Average,Average,Yes,Working,3,Yes,No,Yes,No,Yes,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,Yes
2809,19-26,Male,Single,3-5',2,3.5-7K,<25%,Mon-Fri,Yes,No,Permanant,No,Business Centre,Average,High Cost,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
2810,19-26,Male,Single,0-2',5,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Town,Average,High Cost,No,Working,2,Yes,Yes,No,No,Yes,Less Than 12 Days,No,No,No,No,500 to 2000,High,Low,High,No
2811,34-40,Male,Married,3-5',8 Above,15K Above,25-50%,Mon-Fri,No,Yes,Permanant,Yes,Outskirt Town,Average,High Cost,Yes,Working,4,Yes,No,Yes,No,No,More Than 12 Days,Yes,No,No,Yes,More Than 5000,High,High,High,Yes
2812,19-26,Female,Single,0-2',2,3.5-7K,<25%,Mon-Fri,Yes,No,Permanant,Yes,Town,Average,Average,Yes,Unemployed/Resigned,2,Yes,Yes,Yes,No,No,More Than 12 Days,No,Yes,Yes,Yes,More Than 5000,High,High,High,Yes
2813,34-40,Male,Single,3-5',5,15K Above,25-50%,24/7 Operation,Yes,No,Permanant,Yes,Business Centre,Near,High Cost,No,Working,2,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,500 to 2000,High,Low,High,No
2814,19-26,Female,Married,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Centre,Average,High Cost,Yes,Working,2,No,Yes,No,No,Yes,Less Than 12 Days,No,No,No,No,500 to 2000,High,Low,High,No
